OccNo,OccAcID,RegistrationNo,RegCountry,YearManufacture,MaxTakeOffWeight,WeightCategory,AircraftType,AircraftMake,AircraftModel,Organization,OperatorType,CARSubpart,StateOperator,OperationType,Departure,Destination,DamageLevel,PRODUCTION_DT
A12W0101,A12W0101_1,C-FYNS,CANADA,1997,70000,27001-272000,AEROPLANE,AIRBUS,A319-100,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A12W0102,A12W0102_1,N37361,UNITED STATES,1941,,0-2250,AEROPLANE,INTERSTATE AIRCRAFT,S-1A,,PRIVATE,,N/A,INSPECTION,CEX3 WETASKIWIN,CEX3 WETASKIWIN,SUBSTANTIAL,2019-03-29T13:28:51
A12W0104,A12W0104_1,C-FFYM,CANADA,2005,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYVR VANCOUVER INTL,,2019-03-29T13:28:51
A12W0105,A12W0105_1,C-FNAE,CANADA,1989,7352,5701-27000,AEROPLANE,BRITISH AEROSPACE,BA 32-12,NORTHWESTERN AIR LEASE,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYSM FORT SMITH,CYHY HAY RIVER,MINOR,2019-03-29T13:28:51
A12W0106,A12W0106_1,,UNITED STATES,,,27001-272000,AEROPLANE,NORTHROP GRUMMAN,B2,US MILITARY,STATE,N/A,MILITARY,UNKNOWN,KSZL WHITEMAN AIR FORCE BASE,PAEI EIELSON AIR FORCE BASE,NONE,2019-03-29T13:28:51
A12W0106,A12W0106_2,,UNITED STATES,,,27001-272000,AEROPLANE,NORTHROP GRUMMAN,B2,US MILITARY,STATE,N/A,MILITARY,UNKNOWN,KSZL WHITEMAN AIR FORCE BASE,PAEI EIELSON AIR FORCE BASE,NONE,2019-03-29T13:28:51
A12W0106,A12W0106_3,,UNITED STATES,,,OVER 272001,AEROPLANE,BOEING,777,AMERICAN AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,RJAA NARITA INTL,KORD CHICAGO O'HARE INTL,,2019-03-29T13:28:51
A12W0107,A12W0107_1,C-GTDH,CANADA,1985,2250,0-2250,HELICOPTER,AEROSPATIALE,AS 350 B2,TRINITY HELICOPTERS LTD.,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,"CYVQ NORMAN WELLS, NT","CYVQ NORMAN WELLS, 15 NM S",SUBSTANTIAL,2019-03-29T13:28:51
A12W0109,A12W0109_1,C-FOKY,CANADA,1966,4309,2251-5700,HELICOPTER,BELL HELICOPTER,204B,BLACK SWAN HELICOPTERS LTD.,COMMERCIAL,702 - AERIAL WORK,N/A,FIRE FIGHTING / FIRE MANAGEMENT,WENZEL FIRE CAMP,CEC3 FOX LAKE,MINOR,2019-03-29T13:28:51
A12W0111,A12W0111_1,C-IJTQ,CANADA,1987,213,0-2250,BASIC ULTRALIGHT,KOLB,ULTRASTAR,,PRIVATE,,N/A,PLEASURE/TRAVEL,CFY4 WINTERS AIRE PARK,CFY4 WINTERS AIRE PARK,SUBSTANTIAL,2019-03-29T13:28:51
A12W0112,A12W0112_1,C-GSHZ,CANADA,1996,7484,5701-27000,AEROPLANE,FAIRCHILD,SA227-DC,SUNWEST AVIATION LTD.,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A12W0113,A12W0113_1,C-FHKA,CANADA,2006,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYVR VANCOUVER INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A12W0113,A12W0113_2,C-GROU,CANADA,1983,1406,0-2250,AEROPLANE,CESSNA,182R,,PRIVATE,,N/A,PLEASURE/TRAVEL,"CEZ4 FORT VERMILLION, AB","CEZ4 FORT VERMILLION, AB",NONE,2019-03-29T13:28:51
A12W0114,A12W0114_1,C-GWBT,CANADA,2003,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYVR VANCOUVER, BC",CYXY WHITEHORSE INTL,NONE,2019-03-29T13:28:51
A12W0114,A12W0114_2,OO-LMG,BELGIUM,,,27001-272000,AEROPLANE,DASSAULT-BREGUET,FALCON 7X,,PRIVATE,,N/A,BUSINESS,"PAGS GUSTAVUS, ALASKA",CYXY WHITEHORSE INTL,NONE,2019-03-29T13:28:51
A12W0115,A12W0115_1,C-FDRK,CANADA,1990,73500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYYZ TORONTO LBPI,NONE,2019-03-29T13:28:51
A12W0117,A12W0117_1,,CANADA,,,0-2250,BASIC ULTRALIGHT,AEROQUEST,ELAN,,PRIVATE,,N/A,PLEASURE/TRAVEL,CYLL LLOYDMINSTER 8 NM N,CYLL LLOYDMINSTER 8 NM N,SUBSTANTIAL,2019-03-29T13:28:51
A12W0118,A12W0118_1,C-GWSH,CANADA,2002,70080,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,KSFO SAN FRANCISCO,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0119,A12W0119_1,C-GMVX,CANADA,2000,5398,2251-5700,HELICOPTER,BELL HELICOPTER,412EP,EAGLE COPTERS LTD.,PRIVATE,,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0120,A12W0120_1,C-GNON,CANADA,1989,18643,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-300,JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYKA KAMLOOPS,NONE,2019-03-29T13:28:51
A12W0120,A12W0120_2,C-GTNG,CANADA,1974,5670,2251-5700,AEROPLANE,CESSNA,500,,CORPORATE,N/A,N/A,BUSINESS,"CYBW SPRINGBANK, AB","CYYN SWIFT CURRENT, SK",NONE,2019-03-29T13:28:51
A12W0121,A12W0121_1,C-GRGW,CANADA,1975,1043,0-2250,AEROPLANE,CESSNA,172M,ALTA FLIGHTS LTD.,COMMERCIAL,702 - AERIAL WORK,N/A,PHOTO/SURVEY,CYBW SPRINGBANK,CYEG EDMONTON INTL,SUBSTANTIAL,2019-03-29T13:28:51
A12W0122,A12W0122_1,C-GBLB,CANADA,1975,2495,2251-5700,AEROPLANE,CESSNA,T310R,GEODESY REMOTE SENSING INC.,COMMERCIAL,702 - AERIAL WORK,N/A,PHOTO/SURVEY,CYZH SLAVE LAKE,CYZH SLAVE LAKE,SUBSTANTIAL,2019-03-29T13:28:51
A12W0123,A12W0123_1,C-FBJR,CANADA,1975,1909,0-2250,AEROPLANE,CESSNA,188 B,,PRIVATE,,N/A,APPLICATION,"JARVIE, AB","JARVIE, AB",SUBSTANTIAL,2019-03-29T13:28:51
A12W0124,A12W0124_1,C-GNSA,CANADA,1964,907,0-2250,AEROPLANE,PIPER,PA-18-150,NORTHSKY AVIATION LTD.,COMMERCIAL,702 - AERIAL WORK,N/A,AIR TRANSPORT,"HART LAKE, YT","CYDA DAWSON CITY, 120 NM N",SUBSTANTIAL,2019-03-29T13:28:51
A12W0125,A12W0125_1,C-FLSS,CANADA,1992,75500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO/LESTER B. PEARSON INTL,CYMM FORT MCMURRAY,NONE,2019-03-29T13:28:51
A12W0127,A12W0127_1,C-GOPW,CANADA,1980,58106,27001-272000,AEROPLANE,BOEING,737-200,AIR NORTERRA [CANADIAN NORTH),COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEV INUVIK (MIKE ZUBKO),CYVQ NORMAN WELLS,NONE,2019-03-29T13:28:51
A12W0129,A12W0129_1,C-FKCR,CANADA,1991,75500,27001-272000,AEROPLANE,AIRBUS,A320-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYYZ TORONTO/LESTER B. PEARSON INTL,NONE,2019-03-29T13:28:51
A12W0131,A12W0131_1,C-GHIY,CANADA,1999,1089,0-2250,HELICOPTER,ROBINSON HELICOPTER,R44,VALLEY B AVIATION,COMMERCIAL,702 - AERIAL WORK,N/A,INSPECTION,GAS PLANT SITE 16-10,GAS PLANT SITE 10-11,DESTROYED,2019-03-29T13:28:51
A12W0133,A12W0133_1,C-GWGV,CANADA,2006,1451,0-2250,HELICOPTER,BELL HELICOPTER,206B,,PRIVATE,,N/A,PLEASURE/TRAVEL,OLDMAN RIVER 5 NM EAST OF COWLEY,PRIVATE HELIPAD 5 NM E OF OKOTOKS AIRPARK,SUBSTANTIAL,2019-03-29T13:28:51
A12W0134,A12W0134_1,C-GWVE,CANADA,1947,878,0-2250,AEROPLANE,PIPER,PA-12,122537 CANDADA  (RAMS HEAD OUTFITTERS ),PRIVATE,,N/A,PLEASURE/TRAVEL,CYQH WATSON LAKE,CYQH WATSON LAKE,MINOR,2019-03-29T13:28:51
A12W0134,A12W0134_2,C-FJQY,CANADA,1949,793,0-2250,AEROPLANE,PIPER,PA-12,,PRIVATE,,N/A,PLEASURE/TRAVEL,,,SUBSTANTIAL,2019-03-29T13:28:51
A12W0135,A12W0135_1,C-FWZV,CANADA,1982,19958,5701-27000,AEROPLANE,DE HAVILLAND,DHC-7-100,AIR TINDI,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CTM7 TUNDRA MINE/SALMITA MINE,NONE,2019-03-29T13:28:51
A12W0137,A12W0137_1,C-FMKB,CANADA,1942,12204,5701-27000,AEROPLANE,MCDONNELL DOUGLAS,DC3C,KENN BOREK AIR,COMMERCIAL,704 - COMMUTER,N/A,TRAINING,CYQF RED DEER REGIONAL,CYQF RED DEER REGIONAL,NONE,2019-03-29T13:28:51
A12W0139,A12W0139_1,,UNITED STATES,,28998,27001-272000,AEROPLANE,DE HAVILLAND,DHC-8-400,HORIZON AIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KSEA SEATTLE,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0139,A12W0139_2,,CANADA,,,27001-272000,AEROPLANE,CANADAIR,CL-600-2C10 (RJ700),SKY WEST,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KSFO SAN FRANCISCO,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0140,A12W0140_1,,CANADA,,93181,27001-272000,AEROPLANE,AIRBUS,A321,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0140,A12W0140_2,,UNITED KINGDOM,,,OVER 272001,AEROPLANE,BOEING,C-17,ROYAL AIR FORCE,STATE,N/A,MILITARY,AIR TRANSPORT,KSKF SAN ANTONIO INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0141,A12W0141_1,C-GJWS,CANADA,2005,70533,27001-272000,AEROPLANE,BOEING,737-800,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO LBPIA,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0142,A12W0142_1,,CANADA,,20045,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-300,CENTRAL MOUNTAIN AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYMM FORT MCMURRAY,NONE,2019-03-29T13:28:51
A12W0142,A12W0142_2,C-GKZH,CANADA,1997,7393,5701-27000,AEROPLANE,CESSNA,560,CENTRAL AVIATION INC.,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYBW SPRINGBANK,CYMM FORT MCMURRAY,NONE,2019-03-29T13:28:51
A12W0143,A12W0143_1,C-FWZV,CANADA,1982,19958,5701-27000,AEROPLANE,DE HAVILLAND,DHC-7-100,AIR TINDI,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,"CDK2 DIAVIK, NT",NONE,2019-03-29T13:28:51
A12W0144,A12W0144_1,,CANADA,,,0-2250,HELICOPTER,BELL HELICOPTER,206B,CANADIAN HELICOPTERS,COMMERCIAL,702 - AERIAL WORK,N/A,INSPECTION,CYXD EDMONTON CITY CENTRE,CYMM FORT MCMURRAY,NONE,2019-03-29T13:28:51
A12W0144,A12W0144_2,C-FNSA,CANADA,1993,15000,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-300,NORTH CARIBOO FLYING SERVICE,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON,CRL4 KIRBY LAKE,NONE,2019-03-29T13:28:51
A12W0145,A12W0145_1,C-GRMZ,CANADA,1995,21999,5701-27000,AEROPLANE,ATR,ATR 72-200,Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CYCB CAMBRIDGE BAY,MINOR,2019-03-29T13:28:51
A12W0146,A12W0146_1,C-FPCP,CANADA,2001,6806,5701-27000,AEROPLANE,BEECH,B300,SUNWEST AVIATION LTD.,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CFT8 PELICAN AB,MINOR,2019-03-29T13:28:51
A12W0147,A12W0147_1,C-GAQN,CANADA,2000,19504,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-300,NORTH CARIBOO FLYING SERVICE,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A12W0148,A12W0148_1,C-GCNK,CANADA,1998,61461,27001-272000,AEROPLANE,BOEING,737-300,CANADIAN NORTH INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYNR HORIZON/FORT MACKAY,CYYC CALGARY,NONE,2019-03-29T13:28:51
A12W0149,A12W0149_1,C-FBHV,CANADA,1977,1816,0-2250,HELICOPTER,BELL HELICOPTER,206L,BAILEY HELICOPTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CBH2 40 NM NE,CBH2 40 NM NE,SUBSTANTIAL,2019-03-29T13:28:51
A12W0150,A12W0150_1,C-GBLU,CANADA,2007,1134,0-2250,HELICOPTER,ROBINSON HELICOPTER,R44 II,,PRIVATE,,N/A,PLEASURE/TRAVEL,CEM4 INNISFAIL,CEM4 INNISFAIL,SUBSTANTIAL,2019-03-29T13:28:51
A12W0151,A12W0151_1,C-FWBX,CANADA,2003,60327,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYEG EDMONTOIN INTL,NONE,2019-03-29T13:28:51
A12W0152,A12W0152_1,C-GMGD,CANADA,1954,2495,2251-5700,AEROPLANE,DE HAVILLAND,DHC-2 MK I,ALPINE AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYXY WHITEHORSE INTL,unknown,SUBSTANTIAL,2019-03-29T13:28:51
A12W0155,A12W0155_1,C-FHNV,CANADA,2007,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY INTL,KEWR NEWARK LIBERTY INTL,NONE,2019-03-29T13:28:51
A12W0156,A12W0156_1,C-GKEM,CANADA,1998,24040,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A12W0157,A12W0157_1,C-FBCW,CANADA,1992,7212,5701-27000,AEROPLANE,CESSNA,560,CAN-WEST CORPORATE AIR CHARTERS LTD.,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYXD EDMONTON CITY CENTRE (BLATCHFORD FIELD),CYEG EDMONTON INTL,SUBSTANTIAL,2019-03-29T13:28:51
A12W0158,A12W0158_1,C-GPNE,CANADA,2010,5670,2251-5700,AEROPLANE,BEECH,B200GT,,PRIVATE,,N/A,BUSINESS,CYYC CALGARY INTL,CYLL LLOYDMINSTER,SUBSTANTIAL,2019-03-29T13:28:51
A12W0159,A12W0159_1,C-FJYK,CANADA,1991,816,0-2250,AEROPLANE,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,CFY4 WINTERS AIRE PARK,CFY4 WINTERS AIRE PARK,SUBSTANTIAL,2019-03-29T13:28:51
A12W0160,A12W0160_1,,CANADA,2001,68040,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYJ VICTORIA INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0161,A12W0161_1,,CANADA,,,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8 (DASH 8),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0162,A12W0162_1,C-FAGI,CANADA,1971,21092,5701-27000,AEROPLANE,HAWKER SIDDELEY,HS 748 2A,AIR NORTH CHARTER & TRAINING,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYXY WHITEHORSE INTL,CYXY WHITEHORSE INTL,NONE,2019-03-29T13:28:51
A12W0163,A12W0163_1,C-FBWQ,CANADA,1980,5670,2251-5700,AEROPLANE,SWEARINGEN,METRO,CARSON AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYXE SASKATOON,NONE,2019-03-29T13:28:51
A12W0163,A12W0163_2,C-FTSK,CANADA,1987,7258,5701-27000,AEROPLANE,FAIRCHILD,SA-227-AC,CARSON AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYYC CALGARY INTL,CYQR REGINA INT'L,NONE,2019-03-29T13:28:51
A12W0165,A12W0165_1,C-FCAG,CANADA,1988,181439,27001-272000,AEROPLANE,BOEING,767-300,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"EGLL LONDON HEATHROW, LONDON UK","CYYC CALGARY, AB",NONE,2019-03-29T13:28:51
A12W0166,A12W0166_1,C-GTXW,CANADA,1944,21772,5701-27000,AEROPLANE,CURTISS-WRIGHT,C46F 5CU,BUFFALO AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CYZF YELLOWKNIFE,SUBSTANTIAL,2019-03-29T13:28:51
A12W0167,A12W0167_1,C-GNRT,CANADA,1976,748,0-2250,AEROPLANE,BELLANCA (AERONCA),7GCBC,,PRIVATE,,N/A,PLEASURE/TRAVEL,CFG4 DEBOLT,"PEORIA, AB",SUBSTANTIAL,2019-03-29T13:28:51
A12W0168,A12W0168_1,C-GRMZ,CANADA,1995,21999,5701-27000,AEROPLANE,ATR,ATR 72-200,FIRST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYHK GJOA HAVEN, NU","CYBB KUGAARUK, NU",NONE,2019-03-29T13:28:51
A12W0169,A12W0169_1,C-FZWS,CANADA,2001,68040,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"KPSP PALM SPRINGS, CA","CYYC CALGARY, AB",NONE,2019-03-29T13:28:51
A12W0170,A12W0170_1,C-GXSP,CANADA,2001,1157,0-2250,AEROPLANE,CESSNA,172S,CENTENNIAL FLIGHT CENTRE,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,"CYXD EDMONTON, AB",CFB6 JOSEPHBURG,SUBSTANTIAL,2019-03-29T13:28:51
A12W0171,A12W0171_1,C-GWIR,CANADA,1942,12201,5701-27000,AEROPLANE,DOUGLAS,DC-3C,BUFFALO AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYZF YELLOWKNIFE, NT","CYHY HAY RIVER, NT",NONE,2019-03-29T13:28:51
A12W0172,A12W0172_1,C-FMAI,CANADA,1993,104326,27001-272000,AEROPLANE,BOEING,757-200,MORNINGSTAR AIR EXPRESS INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY AB,CYWG WINNIPEG MB,NONE,2019-03-29T13:28:51
A12W0173,A12W0173_1,C-GNDU,CANADA,1982,53071,27001-272000,AEROPLANE,BOEING,737-200,CANADIAN NORTH INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYCB CAMBRIDGE BAY,CYCO KUGLUKTUK,NONE,2019-03-29T13:28:51
A12W0174,A12W0174_1,C-GNTL,CANADA,2007,3921,2251-5700,AEROPLANE,CESSNA,510,,PRIVATE,,N/A,BUSINESS,"CEA3 OLDS DIDSBURY, AB","CYQU GRANDE PRAIRIE, AB",NONE,2019-03-29T13:28:51
A12W0174,A12W0174_2,,CANADA,,,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8 (DASH 8),NORTH CARIBOO FLYING SERVICE,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYYC CALGARY, AB","CYEG EDMONTON, AB",NONE,2019-03-29T13:28:51
A12W0175,A12W0175_1,C-GWEI,CANADA,2008,2310,2251-5700,AEROPLANE,PIPER,PA-46-500TP,,PRIVATE,,N/A,PLEASURE/TRAVEL,CYOJ HIGH LEVEL,CFN5 LA CRÊTE,DESTROYED,2019-03-29T13:28:51
A12W0176,A12W0176_1,C-FDJA,CANADA,2004,24040,5701-27000,AEROPLANE,BOMBARDIER,CL-600-2B19 (CRJ 200),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYVR VANCOUVER INTL,CYXY WHITEHORSE INTL,NONE,2019-03-29T13:28:51
A12W0177,A12W0177_1,C-GJVX,CANADA,2002,93000,27001-272000,AEROPLANE,AIRBUS,A321-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYUL PIERRE ELLIOT TRUDEAU INTL,CYVR VANCOUVER INTL,NONE,2019-03-29T13:28:51
A12W0178,A12W0178_1,C-GNFC,CANADA,1964,1633,0-2250,AEROPLANE,PIPER,PA-30,NAMAO FLYING CLUB,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,CEN5 COLD LAKE REGIONAL,CZVL VILLENEUVE,NONE,2019-03-29T13:28:51
A12W0178,A12W0178_2,,CANADA,,16850,5701-27000,AEROPLANE,MCDONNELL DOUGLAS,CF-18,ROYAL CANADIAN AIR FORCE (RCAF),STATE,N/A,MILITARY,UNKNOWN,CYOD COLD LAKE,,NONE,2019-03-29T13:28:51
A12W0179,A12W0179_1,C-GGIE,CANADA,2000,2250,0-2250,HELICOPTER,EUROCOPTER,AS 350 B2,CANADIAN HELICOPTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,"FORT MCMURRAY, AB","FORT MCMURRAY, 30 NM NORTH",NONE,2019-03-29T13:28:51
A12W0180,A12W0180_1,C-FYMM,CANADA,2006,7543,5701-27000,AEROPLANE,CESSNA,560,SYNCRUDE CANADA,PRIVATE,,N/A,BUSINESS,CYMM FORT MCMURRAY,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0181,A12W0181_1,C-GKLB,CANADA,2003,16899,5701-27000,AEROPLANE,ATR,ATR 42-300,FIRST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CYCO KUGLUKTUK,NONE,2019-03-29T13:28:51
A12W0182,A12W0182_1,C-GUAT,CANADA,1979,19958,5701-27000,AEROPLANE,DE HAVILLAND,DHC-7-100,AIR TINDI,COMMERCIAL,705 - AIRLINER,N/A,TRAINING,CYYC CALGARY INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0183,A12W0183_1,C-FHHQ,CANADA,1963,1168,0-2250,AEROPLANE,MOONEY,M-20 D,NAMAO FLYING CLUB,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,CZVL VILLENEUVE,CZVL VILLENEUVE,SUBSTANTIAL,2019-03-29T13:28:51
A12W0184,A12W0184_1,C-FRSO,CANADA,2008,1134,0-2250,HELICOPTER,ROBINSON HELICOPTER,R44 II,,PRIVATE,RECREATIONAL AVIATION,N/A,BUSINESS,CANYON CREEK,CFX2 OKOTOKS AIR PARK,SUBSTANTIAL,2019-03-29T13:28:51
A12W0185,A12W0185_1,C-GWJF,CANADA,2004,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYMM FORT MCMURRAY,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A12W0185,A12W0185_2,C-GJZJ,CANADA,2001,24040,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CFG6 FORT MACKAY/FIREBAG,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0186,A12W0186_1,C-GSAX,CANADA,1988,6200,5701-27000,AEROPLANE,DORNIER,DO-228-202,SUMMIT AIR CHARTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYOA EKATI,CEM3 WHATI,NONE,2019-03-29T13:28:51
A12W0188,A12W0188_1,C-FUWS,CANADA,2004,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYVR VANCOUVER INTL,CYYC CALGARY INTL,NONE,2019-03-29T13:28:51
A12W0189,A12W0189_1,N430QX,UNITED STATES,2007,29257,27001-272000,AEROPLANE,DE HAVILLAND,DHC-8-400,HORIZON AIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KSEA SEATTLE-TACOMA INTL,CYEG EDMONTON INTL,NONE,2019-03-29T13:28:51
A12W0190,A12W0190_1,C-GUSI,CANADA,1975,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),FIRST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A12W0191,A12W0191_1,C-GSPW,CANADA,1981,58106,27001-272000,AEROPLANE,BOEING,737-200,CANADIAN NORTH INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON INTL,CYZF YELLOWKNIFE,NONE,2019-03-29T13:28:51
A13A0002,A13A0002_1,C-GUJC,CANADA,1979,89358,27001-272000,AEROPLANE,BOEING,727-200,CARGOJET AIRWAYS LTD.,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYFB IQALUIT,CYHZ HALIFAX/STANFIELD INTL,NONE,2019-03-29T13:28:51
