"REF_DATE","GEO","DGUID","Class of operation","Rank and number of movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Montréal/St-Hubert, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501820","20.3.1","2","","","","0"
"1997","Montréal/St-Hubert, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501821","20.3.2","97465","","","","0"
"1997","Québec/Jean Lesage International, Quebec","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501852","26.1.1","15","","","","0"
"1997","Québec/Jean Lesage International, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501853","26.1.2","125291","","","","0"
"1997","Québec/Jean Lesage International, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501854","26.2.1","11","","","","0"
"1997","Québec/Jean Lesage International, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501855","26.2.2","90824","","","","0"
"1997","Québec/Jean Lesage International, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501856","26.3.1","20","","","","0"
"1997","Québec/Jean Lesage International, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501857","26.3.2","34467","","","","0"
"1997","Sept-Îles, Quebec","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501876","30.1.1","44","","","t","0"
"1997","Sept-Îles, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501877","30.1.2","33212","","","t","0"
"1997","Sept-Îles, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501878","30.2.1","37","","","t","0"
"1997","Sept-Îles, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501879","30.2.2","29740","","","t","0"
"1997","Sept-Îles, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501880","30.3.1","41","","","t","0"
"1997","Sept-Îles, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501881","30.3.2","3472","","","t","0"
"1997","St-Jean, Quebec","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501888","32.1.1","41","","","","0"
"1997","St-Jean, Quebec","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501889","32.1.2","50200","","","","0"
"1997","St-Jean, Quebec","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501890","32.2.1","35","","","","0"
"1997","St-Jean, Quebec","","Itinerant movements","Number of movements","Number","223","units ","0","v41501891","32.2.2","32359","","","","0"
"1997","St-Jean, Quebec","","Local movements","Rank of movements","Number","223","units ","0","v41501892","32.3.1","33","","","","0"
"1997","St-Jean, Quebec","","Local movements","Number of movements","Number","223","units ","0","v41501893","32.3.2","17841","","","","0"
"1997","Ontario","2016A000235","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207273","1035.1.2","1515118","","","","0"
"1997","Ontario","2016A000235","Itinerant movements","Number of movements","Number","223","units ","0","v44207274","1035.2.2","1002984","","","","0"
"1997","Ontario","2016A000235","Local movements","Number of movements","Number","223","units ","0","v44207275","1035.3.2","512134","","","","0"
"1997","Hamilton, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501768","12.1.1","21","","","","0"
"1997","Hamilton, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501769","12.1.2","94085","","","","0"
"1997","Hamilton, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501770","12.2.1","20","","","","0"
"1997","Hamilton, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501771","12.2.2","49576","","","","0"
"1997","Hamilton, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501772","12.3.1","17","","","","0"
"1997","Hamilton, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501773","12.3.2","44509","","","","0"
"1997","Kitchener/Waterloo, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501780","14.1.1","19","","","","0"
