OccNo,OccYear,OccDate,OccClassID,OccType,IncidentType,Country,ProvinceState,Ocean,Location,Distance,Airport,ICAO,Latitude,Longitude,CrewFatal,PassengerFatal,GroundFatal,CrewSerious,PassengerSerious,GroundSerious,DGReleaseIND,AircraftType_1,AircraftMake_1,Organization_1,OperatorType_1,RegCountry_1,AircraftType_2,AircraftMake_2,Organization_2,OperatorType_2,RegCountry_2,AircraftType_3,AircraftMake_3,Organization_3,OperatorType_3,RegCountry_3,AircraftType_4,AircraftMake_4,Organization_4,OperatorType_4,RegCountry_4,AircraftType_5,AircraftMake_5,Organization_5,OperatorType_5,RegCountry_5,AircraftType_6,AircraftMake_6,Organization_6,OperatorType_6,RegCountry_6,PRODUCTION_DT
A18Q0039,2018,2018-03-16,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Quebec City,,Jean Lesage Intl,CYQB,46.79111,-71.3933,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,WESTJET ENCORE,COMMERCIAL,CANADA,AEROPLANE,BOEING,AIR TRANSAT A.T.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0040,2018,2018-03-18,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Quebec City,3.000000000000000,Jean Lesage Intl,CYQB,46.79111,-71.3933,0,0,0,0,0,0,NO,AEROPLANE,BRITISH AEROSPACE,PASCAN AVIATION,COMMERCIAL,CANADA,AEROPLANE,DE HAVILLAND,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0041,2018,2018-03-17,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0042,2018,2018-03-21,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,CANADAIR,SKYWEST AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0043,2018,2018-03-26,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,Quebec City,12.000000000000000,Jean Lesage Intl,CYQB,46.35166,-72.6805,0,0,0,0,0,0,NO,HELICOPTER,ROBINSON HELICOPTER,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0044,2018,2018-03-24,5,INCIDENT REPORTABLE,ENGINE,CANADA,NUNAVUT,N/A,POND INLET,80.000000000000000,POND INLET,CYIO,72.68944,-77.9688,0,0,0,0,0,0,NO,AEROPLANE,ATR,FIRST AIR,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0046,2018,2018-03-27,5,INCIDENT REPORTABLE,RISK OF COLLISION,CANADA,QUEBEC,N/A,SEPT-ÎLES,,SEPT-ÎLES,CYZV,50.22333,-66.2655,0,0,0,0,0,0,NO,AEROPLANE,BEECH,SKYJET AVIATION,COMMERCIAL,CANADA,AEROPLANE,DE HAVILLAND,PAL PROVINCIAL AIRLINES,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0047,2018,2018-04-07,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,QUEBEC,N/A,Montreal,82.000000000000000,Pierre Elliott Trudeau Intl,CYUL,46.9,-76.8,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0048,2018,2018-04-07,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Quebec City,,Jean Lesage Intl,CYQB,46.79111,-71.3933,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0049,2018,2018-04-13,5,INCIDENT REPORTABLE,ENGINE,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,CANADAIR,Gouvernement du Quebec - Service Aerien Gouvernemental,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0050,2018,2018-03-31,5,INCIDENT REPORTABLE,COLLISION,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0051,2018,2018-04-12,5,INCIDENT REPORTABLE,SMOKE OR FIRE,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0052,2018,2018-04-16,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,15.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR TRANSAT,COMMERCIAL,CANADA,AEROPLANE,AIRBUS,AIR TRANSAT,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
